"Pablo PICASSO (French, 1881-1973)  La Peintre et son modele, 26 March 1965  Oil on canvas  Signed upper right Picasso, numbered and dated on the back 26.3.65 V, initialed K on the stretcher  18 x 21.77 in. – 45.8 x 55.3 cm.  Provenance  Galerie Louise Leiris, Paris  Literature  1972 C. ZErvos, Pablo Picasso, vol. 25 oeuvres de 1965-1967. Paris, no. 69 (illustrated p. 40)","La Peintre et son modele, 26 March 1965",Thu,2200000,2500000,3000000,1250000,1320,United States,8,63
"Title, Year:  Untitled, 1920   Pablo PICASSO (1881-1973)  Untitled, 1920  Oil on canvas, signed lower left  10.5 x 8.75 in. - 26.7 x 22.2 cm. ",58: Pablo PICASSO (1881-1973),Thu,1100000,1200000,1800000,960000,2048,United States,4,24
"Pablo Picasso Buste de Femme   Spain, 1942   pencil on wove paper   15 h x 12.25 w inches   Dated to the top right corner '23.4.42'. Estate stamp to the reverse 'Succ. Pablo Picasso Coll. Marina Picasso'.   Literature:  Pablo Picasso, Vol. 12 Oeuvres de 1942 et 1943 , Zervos, no. 39   Provenance: Estate of the Artist, Marina Picasso | Jerald Melbery Gallery, Charlotte, NC | Estate of William H. Van Every, Jr. | Sotheby's, New York,  Impressionist &amp; Modern Drawings and Watercolors , 12 November 1988, Lot 141A | Acquired from James Rondell, London in 1997 | Important private collection",Pablo Picasso Buste de Femme,Thu,620000,800000,1000000,498000,1908,United States,5,98
"Pablo Picasso  (Spanish, 1881-1973)  Buste de Femme d'apres Cranach le Jeune , 1958 (verso Trial Proof  Premier Plateau: Le Bistre )  linoleum cut; Galerie Louise Leiris, pub.  Artist Proof before the edition of 50, inscribed  Linogravure Originale de Picasso 1958. Tirage realise par moi-H Arnera  (verso)  25 1/2 x 20 7/8 inches.   Ref: Bloch, 859  Property from the Estate of Mr. Ivan Bowen II, Wayzata, Minnesota   Provenance:  Gerhard Wurzer Gallery, Houston, Texas","Pablo Picasso, (Spanish, 1881-1973), Buste de Femme d'a",Mon,475000,100000,150000,50000,1890,United States,8,72
"Pablo Picasso Le Peintre et Son Modèle I   Spain, 1970   pencil, ink and chalk on paperboard   8.75 h x 12 w inches   Signed and dated to the upper left 'Picasso 30.6.70.' Dated to the reverse '30.6.70 I'.   Literature:  Pablo Picasso, Vol. 32 Oeuvres de 1970 , Zervos, no. 178   Provenance: Acquired from Galerie Louise Leiris, Paris in 1992 | Important private collection",Pablo Picasso Le Peintre et Son Modèle I,Thu,370000,250000,350000,126000,1908,United States,8,62
"Pablo Picasso, ""Vase deux anses grand oiseau"" unique ceramic, white terra cotta with hand-decorated paint, slip and glaze, 1949. Dated, ""2.49"" underneath. Vase: 20.675""H x 14.5""W x 12""D. PROVENANCE: Estate of the artist. Jacqueline Picasso, Paris (by descent from the estate). Etienne Sassi Inc., Paris. (acquired from the above). Elliott Yeary Gallery, Aspen, Colorado. From the Collection of Sam Wyly, Dallas, Texas (acquired from the above in 2001). EXHIBITED:""Hommage a Jacqueline Picasso,"" Galerie Sassi Milici, Vallauris, France, July 21-September 10, 1990. ""Picasso-Unique Ceramics,"" Hammer Galleries, May 1-June 11, 1996. ""Picasso-Unique Ceramics,"" Nassau County Museum of Art, Roslyn Harbor, NY, November 16, 1996-January 26, 1997. LITERATURE: ""Picasso: Unique Ceramics, From the Estate of Jacqueline Picasso,"" New York: Hammer Galleries, 1999, on cover and p. 53 (illustrated in color). Sandra Benadretti-Pellard, ""Picasso: Céramiste à Vallauris, Pièces uniques,"" Museé Magnelli, Museé de la Céramique, Paris: Chiron, 2004, Cat. 98, (illustrated in color on cover, pp. 33, 142). NOTE: Standing over twenty inches tall and with a commanding physical presence, the ""Vase deux anses grand oiseau"" has an elegance and power singularly stated within the oeuvre of Picasso's unique ceramic works. By using darker hues and alternating the contours of the form separated by a white glaze, this large bird as a two-handled vase gains recognizable definition and movement from one compositional element to the next. Somewhat bizarrely, a smiling anthropomorphic head with incised features rests on the center of the breast, as the wings become grotesque ears and the handles ringed horns. The alternating use of color and line guides the eye from the simple-footed base to the incised features of the bird's head at top, always drawing us back into the plentiful middle, where we alternate between seeing both man and beast. The original signed certificate of authenticity from Maya Widmaier Picasso dated November 17, 1996 is included with this lot. Additionally, a copy of the signed certificate of authenticity from Catherine Hutin (Jacqueline Picasso's daughter) is also included. We would like to give special thanks to The Nasher Sculpture Center for their loan of the display pedestal for this work. Pablo Picasso (Spanish, 1881-1973).","Pablo Picasso, ""Vase deux anses grand oiseau""",Wed,325000,250000,350000,130000,985,United States,7,353
"Pablo Picasso ""Untitled (Fresco from the Villa La Mimoseraie with verses by Apollinaire)"" oil on stucco laid down on canvas and mounted on board, 1918. Canvas: 50.5""H x 48.375""W; Frame: 66.875""H x 64.625""W. PROVENANCE: Collection of Madame Eugenia Errazuriz, Biarritz. Collection Bouet. M. Breen. Maxim Blanc, Marseille. Private Collection. Fred Hughes. Private Collection. Galerie Gmurzynska, Zurich, Switzerland (label on verso). Private Collection, Dallas, TX. LITERATURE: Christian Zervos, ""Pablo Picasso, Oeuvres de 1917 à 1919,"" vol. III, Paris, 1949, no. 229, illustrated p. 80. The Picasso Project, ed., ""Picasso's Paintings, Watercolors, Drawings and Sculpture, From Cubism to Neoclassicism 1917-1919,"" San Francisco, 1995, no. 18-133, illustrated p. 136. NOTE: Accompanied by a Certificate of Authenticity from the Picasso Foundation. Painted by the artist in 1918 for his dear friend, Madame Eugenia Errazuriz, this exceedingly rare fresco originally decorated a wall in her Southern France villa, La Mimoseraie. Eugenia was a patron of Modernism and was a hugely influential figure for many of the great artists of the time, including Picasso, who considered her to be his mentor, muse, and model. It was at La Mimoseraie that Picasso and his first wife, Olga Khokhlova, spent their honeymoon as guests of Eugenia. As a thank you to his hostess, Picasso shut himself away upstairs in the ""Blue Room"" and painted a series of murals depicting bathers, florals, and verses written by his dear friend, the French poet, Guillaume Apollinaire. Illustrated in this work alongside a pretty vase of flowers is the first quatrain from the poem, ""Les Saisons"", which reads: ""It was a blessed time, we passed it on the beaches Go there at first light, hatless and barefoot Quick as the flitting tongue of a toad Love's Cupid wounded to the heart both fool and sage alike"". For Picasso, this quatrain epitomized the mood of his classical honeymoon, with its allusion to Cupid's arrow and the surrounding organic imagery. The painting's large scale and energetic execution reflect a period of intense love and excitement for the artist. It celebrates Picasso's new marriage to Olga but also expresses his love of the Mediterranean, which inspired him to paint the mythological themes that became such important and enduring motifs in his art. NOTE: A sister piece from La Mimoseraie titled ""Venus et amour"" sold at Sotheby's New York: November 5, 2014 (lot 375). Pablo Picasso (Spanish, 1881-1973). Please note: We will not be accepting bids on this lot via internet bidding. Please contact the gallery to register for bidding.","Pablo Picasso ""Untitled (Fresco from the Villa La",Wed,240000,250000,450000,130000,61,United States,8,414
"Pablo Picasso Spanish (1881-1973) Gouache & Ink Wash on Paper ""Joie de Vivre"" Signed Picasso Lower Right. Claude Picasso & Maya Widmaier Picasso Have Confirmed the Authenticity of this Work. Paperwork Included. Very Good Condition. Provenance: Hirschl & Adler Galleries, New York; Irving Galleries, Palm Beach, Florida; Acquired from Irving Galleries, Palm Beach, Florida by the Present Owner Circa 1978-1979. Measures 20 Inches by 26 Inches, Frame Measures 29-3/4 Inches by 36 Inches. We Will Not Ship This Item In-House Because it Needs Crating, Freighting and Special Insurance. We Would be Happy to Recommend a List of Approved Vendors Upon Request",Pablo Picasso Spanish (1881-1973) Gouache & Ink Wash on,Wed,220000,250000,300000,120000,1783,United States,9,101
"PABLO PICASSO, (Spanish 1881-1973) Color linoleum cut, limited edition: #16/50 Bust de Femme au Chapeau, 1962 24 x 20 inches Float matted in gilt wood frame with ivory silk mat, glazed. Overall: 41 ½ x 36 inches.
Provenance: Alexander Kahan Fine Arts, New York, 1985. Copy of purchase receipt attached.",Pablo Picasso Linoleum Cut #16/50 Bust de Femme...,Sat,215000,180000,280000,90000,1843,United States,8,50
"Pablo PICASSO (1881-1973)  Nu dansant et Arlequin, 16 Juin 1970 V, 1970   Crayon à papier et crayon de couleur sur carton, signé, numéroté et daté en bas à gauche   17,5 x 22,4 cm - 6 7/8 x 8 7/8 in.   Graphite pencil and color crayon on cardboard, signed, numbered and dated lower left  Provenance :  Galerie Nichido, Tokyo  Collection privée, Europe  Bibliographie :  C. Zervos, Pablo Picasso. Œuvres de 1970,   Vol. XXXII, Paris, 1977, no. 141, p. 54. ","231: Pablo PICASSO - Nu dansant et Arlequin, 16 Juin 19",Fri,252063,296544,370681,296544,2635,United States,11,78
